Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
448000,88.678027,84.368101,89.777545,89.343365,101.197062,92.808224,89.576053,95.466728,105.261556,95.311359,105.583464,105.390632,74.640917,78.209379,83.849587,83.835704,90.824171,85.874443,80.481720,87.671287,94.145743,87.666555,93.228343,94.083946,73.443086,75.561487,79.260647,80.156292,86.295218,82.795522,79.858521,85.017309,92.143119,84.990722,92.556779,92.188816,70.479055,74.185799,78.911701,78.160322,84.243113,80.027157,78.690227,83.665766,87.944316,84.927441,87.060558,87.011877,76.349374,78.404312,81.238054,82.604764,86.254422,84.698555,83.407524,87.616108,91.944024,87.602289,91.334272,91.681416,426.904074
512000,90.743729,85.562620,91.160649,90.974742,103.049488,94.273215,91.255030,97.788748,107.353871,97.505318,107.409900,107.301746,75.920242,79.861579,85.480009,85.867280,92.791034,87.654929,81.994012,90.801254,96.299790,89.264142,95.472950,96.256226,74.955402,77.346415,80.839395,81.698829,88.609684,83.909481,81.188300,88.300120,94.482651,86.755676,94.746325,94.667825,71.707724,75.590854,80.313536,79.927212,85.766534,81.853086,79.849267,86.631968,89.978702,86.543828,89.025606,88.988915,77.686802,79.960979,82.839294,84.699507,87.860523,85.548966,85.037188,90.618338,93.696222,89.112857,93.028267,93.345605,423.330269
576000,91.108400,85.868883,91.873939,91.307842,104.252050,94.597093,91.604245,97.588406,108.392457,97.560931,108.596483,108.654781,76.524180,80.261028,85.909347,86.548507,94.123224,88.894609,82.154716,89.794138,97.123913,89.534113,96.312987,97.166551,75.096900,78.176520,82.165073,83.171725,90.129407,85.835638,81.718942,87.439961,95.084782,87.447145,95.655063,95.089550,72.418697,76.322578,81.342020,81.209407,87.464356,83.449465,80.857453,86.816945,91.181272,88.061157,90.434734,90.403617,78.673947,80.259072,83.697215,85.352443,89.133321,86.314531,86.303416,90.436905,95.250439,90.460323,94.638659,94.907581,409.076957
640000,91.923490,86.211023,92.068047,91.802016,104.706769,95.368576,92.907170,97.787183,108.994830,97.751075,108.959221,109.123888,77.234976,80.867679,86.602261,87.026279,94.729557,88.863338,82.853094,90.441837,98.561831,89.988208,97.725287,98.435521,75.669297,78.789109,82.797221,83.745415,90.327297,86.048390,82.307408,88.080725,95.517701,88.013993,96.183416,95.529432,72.828753,76.706366,81.855766,81.604651,87.765774,83.528673,81.788925,87.101281,91.208644,88.528882,90.739502,90.347008,78.963072,80.693084,84.100099,86.145425,89.655909,86.807189,87.459516,90.679285,95.592456,90.752980,94.890779,95.162950,406.384780
1280000,99.908917,92.560077,97.760574,97.901687,111.770164,100.819868,100.195065,103.588783,116.499069,103.641967,116.033373,116.652739,82.355943,86.014989,91.820742,92.375111,101.772686,94.707423,88.402882,95.898448,105.025196,95.769406,103.692034,104.995170,80.761331,84.608520,88.683468,90.008714,97.618896,92.643633,87.846702,94.219832,103.201351,94.135076,103.979628,103.311341,78.936063,83.399725,87.853972,88.005947,94.921653,90.384725,86.804182,93.961902,98.667518,95.088604,98.394259,97.400794,84.513793,85.640390,89.830689,92.638659,96.781059,93.298812,92.750654,97.462824,102.943758,97.359996,102.183591,102.225006,412.406731
1920000,107.509109,97.786680,102.314926,101.602373,117.683926,105.021576,107.844258,107.742475,122.156938,107.904765,121.846104,122.035963,86.838352,90.463092,95.785848,95.983948,106.001742,98.820470,93.703907,100.172757,109.202330,99.774528,108.268656,109.285410,84.748789,88.992795,92.578524,94.392569,101.998636,96.805452,92.521786,98.242535,108.190350,98.216305,108.784405,108.250755,83.235102,87.349770,91.863345,92.141494,100.015304,94.923663,91.076356,98.130369,103.409396,99.340874,103.254853,102.184816,89.056245,89.636708,93.534998,95.508488,101.322869,97.410837,96.331794,101.911295,107.795001,101.850672,107.062593,107.043764,431.079202
2560000,116.010757,99.866772,104.947258,103.986092,122.742102,107.934685,117.444911,111.057793,127.773145,111.181703,127.733744,127.848626,90.306905,93.189160,98.683891,99.062040,109.690356,101.858786,97.324220,102.885456,113.049288,103.037315,112.211452,112.919559,87.303060,91.860183,95.602683,97.019702,105.795521,99.728233,95.258348,101.313354,111.815968,101.221453,112.387108,111.860273,87.007457,90.657099,94.998937,95.694502,103.369788,99.315111,93.841892,101.664613,107.343314,102.851094,107.273878,106.446545,91.678063,92.887034,97.377750,99.573600,105.505207,102.042882,99.496250,105.595825,112.326851,105.520797,111.398693,111.500571,439.153049
3200000,126.420393,102.446069,107.676123,106.738443,127.396225,110.214766,126.554484,113.320320,132.363581,113.519669,132.407259,132.060788,93.305476,95.992384,101.387809,102.560604,112.917795,105.082857,100.933034,105.945238,116.531623,105.920396,115.588543,116.417449,89.823866,94.683603,98.393940,100.038281,108.929774,102.834073,98.507473,104.194529,115.100995,104.086342,115.755987,115.182863,88.996202,93.575421,97.799080,98.626202,106.621201,101.705478,96.710926,104.811211,110.610668,105.633848,110.502060,109.637549,94.486102,96.048186,100.241826,102.152240,108.617030,104.819466,102.289602,108.876413,115.531169,108.806608,115.144189,114.860820,456.255836
3840000,135.431874,104.578556,109.709525,108.455646,130.538997,112.008605,135.362051,115.813611,135.600279,115.860588,135.825281,135.364487,98.462164,101.313562,106.752979,104.738767,115.094955,107.516284,104.031380,108.523143,119.161260,108.214295,118.280459,119.021012,92.301065,97.097696,100.518990,102.677309,111.284293,104.868700,101.150896,106.320033,117.740732,106.373631,118.182547,117.653303,91.349483,96.044078,99.954738,100.943687,109.061542,103.902648,99.102233,106.766170,112.988044,107.885895,112.746828,112.158951,96.617306,98.646557,102.666257,104.610120,111.307393,106.912648,104.735945,110.968576,118.176188,110.946262,118.345421,117.494345,464.472496
4480000,141.922070,105.726962,111.932901,110.581896,134.287100,113.649908,142.551665,120.948038,143.689364,119.644414,141.814910,142.518493,98.049900,99.831207,105.826373,106.299704,117.879403,109.882016,105.817580,110.461003,121.743982,110.370907,121.205058,121.773739,93.825268,98.411460,102.456175,104.132150,113.960004,106.971486,102.800906,108.251678,120.367602,108.265679,120.742396,120.467273,92.777977,97.508039,101.936354,102.970730,111.718350,106.096927,100.574580,109.145268,115.932944,110.033338,115.634290,115.137964,97.958738,100.492193,104.884586,106.720296,114.033336,109.238215,106.340235,114.026247,121.269085,113.222150,120.546795,120.479023,475.323888
5120000,145.854064,106.443550,112.676714,110.993141,135.412881,115.128376,146.580035,121.789643,144.148203,120.693162,142.298455,143.025890,99.595305,101.529625,106.789714,107.138272,118.658562,109.956167,107.895559,111.251834,122.511356,111.166258,121.983373,122.611279,95.321372,99.367338,103.185980,105.096647,114.520656,107.999613,104.580009,109.055726,121.013962,109.170537,121.513411,121.136446,93.833611,98.470350,102.625793,103.717663,112.268925,106.868144,101.548191,109.688968,116.340260,110.839092,116.084737,115.688073,98.920721,101.405473,105.442106,107.449674,114.574728,110.339107,107.135323,113.972576,121.637649,114.053131,121.054448,121.085098,484.402376
5760000,149.773584,107.878770,113.825896,112.615501,136.422853,115.589468,150.131422,122.859368,145.125506,121.995664,143.609186,144.108495,100.545989,101.993749,107.576695,108.616805,119.660423,111.174117,108.507202,113.630905,124.894449,113.267632,124.377601,124.997050,96.404030,100.492630,104.088405,106.588180,115.534834,108.503559,105.732376,111.375462,123.744929,111.166251,123.655124,123.753252,94.837813,99.549472,103.562386,104.925736,113.558017,107.773703,102.612891,111.924491,118.904038,112.466683,118.432567,117.999809,99.745342,102.791359,106.598862,108.245959,115.702448,110.983016,108.281964,115.865566,123.841190,115.677511,123.245226,123.209536,447.470553
6400000,155.248195,108.892401,115.319847,113.312676,139.705663,116.829419,154.690826,125.094198,147.243340,123.710815,146.606313,146.424694,102.161398,103.261185,109.062059,110.067206,121.481048,112.596568,110.805317,113.836917,125.548610,113.737684,124.929123,125.509231,98.208545,101.749582,105.555387,107.305702,117.319265,110.168568,107.448035,111.492006,123.995755,111.531301,124.571583,123.996455,95.875676,100.849113,104.954402,106.430222,115.053732,109.602352,103.988217,112.214008,119.089474,113.063672,118.724892,118.446794,101.069123,104.119647,107.946370,109.637837,117.279334,112.500758,109.460394,117.200837,124.456813,117.253086,124.078812,123.881078,462.081463
12800000,174.755496,115.447855,124.004195,120.349199,150.868376,124.045427,170.135930,135.201210,157.090747,134.124250,155.240798,155.918749,110.762435,109.620577,116.046663,116.023875,129.755003,120.427831,120.306473,120.974977,134.256531,120.982636,133.703072,134.224483,106.043660,108.047778,112.022479,113.802636,125.345110,116.993425,116.503399,118.196870,132.842196,118.288007,133.337021,132.970481,103.446629,107.036932,111.165652,112.527725,122.691998,116.053210,112.164884,118.938322,126.877198,119.769446,126.539288,126.464026,106.930613,110.511280,114.294024,115.822006,124.773023,119.631898,116.244248,123.301237,132.251555,122.928719,131.856981,131.739045,483.481812
19200000,181.593457,118.857910,130.253878,124.521765,162.241521,128.206634,175.330311,143.637485,165.936566,142.149047,163.731594,164.901981,119.647617,112.986861,120.183446,120.015513,134.829732,123.540098,129.367706,125.410243,139.458588,125.392595,139.120358,139.489224,110.704873,111.131700,115.842272,117.622460,130.651726,120.643169,121.412477,122.084172,138.089597,122.086608,138.330450,138.232981,107.752372,110.169204,114.790377,115.920278,127.129416,120.432688,116.712668,122.721615,131.515405,123.625040,131.100678,131.189241,110.733880,113.617182,117.846255,120.551579,129.093807,123.668770,120.247085,126.901490,136.466722,126.613429,136.246434,136.125453,499.154508
25600000,186.967810,121.486987,135.579194,127.443561,177.931613,131.475303,179.409404,151.232408,179.244109,150.159679,177.476469,176.283440,131.489700,115.823457,123.186119,122.482903,138.416520,126.745211,142.188578,128.757733,143.191325,128.405262,142.781997,143.229093,114.640974,114.327117,118.541056,120.252993,133.862639,123.568857,125.798242,125.019963,142.131311,125.227220,142.312512,142.283715,111.076624,113.066056,117.273855,118.406546,130.254007,122.690553,120.637466,125.516102,134.550172,126.406171,134.244992,134.210247,113.969567,116.302120,120.378094,121.819883,132.613435,125.789051,124.049090,129.728055,139.868593,129.521078,139.571999,139.309811,521.856471
32000000,193.494790,125.441296,138.930568,130.433501,193.123449,134.413951,184.150732,157.595084,185.983134,155.803442,183.199062,184.704439,142.271276,118.296802,126.114242,125.027516,141.597923,128.630540,154.116064,131.346352,146.776925,131.226357,146.246460,146.836684,120.278948,116.860956,120.899831,122.918262,136.935492,126.014067,131.871771,127.483426,145.264230,127.599621,145.665235,145.296885,115.009620,115.503531,119.711089,120.833527,133.064233,124.954055,124.993286,127.876398,137.339751,128.780301,136.877245,137.019467,117.503318,118.757254,122.807805,124.020643,134.757587,128.225482,127.824981,131.706013,142.380250,131.730330,142.488829,141.933052,490.839316
38400000,205.960731,139.225926,141.743205,131.344838,201.470237,136.039756,198.807439,161.480359,191.039231,159.711345,188.325023,189.982807,148.397438,119.521890,128.039612,126.664844,144.171034,130.397442,160.922453,136.833063,152.081878,136.194234,150.562846,152.056376,123.695170,117.714857,122.611117,124.447074,139.779588,127.132938,134.968093,129.107612,147.620678,129.268514,147.829377,147.954963,115.711529,116.233895,121.033036,122.475542,134.949569,126.879153,125.498183,129.303787,139.338499,130.508477,138.892190,139.129566,118.507180,119.577198,124.014002,125.473848,136.492019,129.849214,128.793549,133.250928,144.090193,133.146306,143.835797,143.750896,505.300467
