Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
2176000,29.601559,31.134544,35.636297,33.205441,34.704609,36.268645,33.669584,38.290707,39.387240,37.630937,38.555461,38.918372,32.717159,37.651377,38.837813,37.402567,38.241439,38.541353,30.279622,34.617537,35.589245,34.426761,35.834797,35.604333,30.500848,34.404682,35.611595,34.400116,35.552580,35.664547,30.178437,34.852885,35.621254,34.601178,35.582233,35.582059
2368000,29.594724,31.239914,35.608508,33.320666,34.762716,36.234853,33.608742,38.181414,39.295054,37.533867,38.485955,38.856894,32.704447,37.598408,38.758935,37.243261,38.102157,38.448319,30.272904,34.556793,35.609246,34.421558,35.843376,35.627716,30.388327,34.411360,35.656068,34.416810,35.557130,35.730761,30.207815,34.901733,35.701726,34.583226,35.550144,35.556695
2560000,29.553188,31.072198,35.612058,33.249447,34.778782,36.194266,33.511735,38.279850,39.232477,37.462482,38.404658,38.761415,32.570862,37.471038,38.606410,37.097766,38.004574,38.385659,30.196996,34.570369,35.638662,34.420712,35.896159,35.653329,30.441236,34.421290,35.674809,34.444057,35.627989,35.715258,30.176892,34.933345,35.687336,34.595520,35.612353,35.581703
2752000,29.575926,31.091748,35.670970,33.607082,34.960678,36.276454,33.473643,38.101486,39.203433,37.423879,38.252417,38.724542,32.424973,37.364691,38.521402,36.845632,37.903572,38.218616,30.252486,34.671398,35.713812,34.614012,36.033100,35.713758,30.437979,34.481183,35.749809,34.462700,35.670180,35.794471,30.248148,34.972428,35.773724,34.575884,35.906026,35.653771
2944000,29.593711,31.165958,35.777295,33.469486,35.072759,36.367427,33.551632,38.106975,39.227443,37.382434,38.263592,38.804424,32.326124,37.199910,38.398317,36.741486,37.907865,38.121085,30.322799,34.708401,35.848543,34.616019,36.072839,35.816530,30.420150,34.595288,35.855860,34.555718,35.760760,35.905513,30.426187,35.012807,35.909396,34.705810,35.777229,35.799341
3136000,29.612004,31.203702,35.881650,33.499196,35.188250,36.494024,33.803155,38.298446,39.469610,37.618628,38.505407,39.008637,32.284605,37.155731,38.434784,36.674595,37.674029,38.162929,30.436688,34.834621,35.952288,34.686138,36.213191,35.976116,30.475976,34.755327,36.064906,34.769298,35.985282,36.040420,30.311443,35.198280,36.030354,34.769058,35.937558,35.932891
3328000,29.683854,31.222392,35.911430,33.506560,35.238254,36.593228,33.671585,38.203709,39.270921,37.433510,38.292378,38.863008,32.480017,37.410690,38.631800,36.894056,37.849369,38.269921,30.391216,34.841432,35.982407,34.728260,36.250994,36.115713,30.549587,34.691539,36.014077,34.676641,35.941796,36.059106,30.317528,35.186276,36.038007,34.857628,35.991255,35.942755
3520000,29.713634,31.270565,35.973763,33.560483,35.276708,36.668389,33.790262,38.229170,39.413530,37.473437,38.373183,38.996424,32.697757,37.626424,38.826350,37.028799,38.284456,38.500245,30.417078,34.919846,36.076146,34.714988,36.348642,36.095897,30.539538,34.744844,36.112871,34.793993,36.032850,36.213257,30.342553,35.268584,36.140076,34.873037,36.042526,36.037719
3712000,29.804798,31.338907,36.130863,33.691342,35.409186,36.951052,33.959535,38.450902,39.576675,37.717363,38.596477,39.146636,32.906136,37.873282,39.019887,37.267933,38.387232,38.815706,30.616490,35.025408,36.195051,34.932337,36.539847,36.307041,30.590643,34.890317,36.279253,34.861878,36.191047,36.302806,30.442051,35.404958,36.261178,35.064619,36.201010,36.167490
3904000,29.798264,31.348139,36.177352,33.717600,35.543077,36.931824,34.064088,38.553421,39.711528,37.840813,38.774799,39.289316,33.126752,38.041789,39.202829,37.690522,38.603563,38.976730,30.687957,35.099827,36.283156,34.985931,36.609120,36.320826,30.675128,34.981031,36.335131,34.959738,36.387957,36.373052,30.451427,35.433290,36.386575,35.085119,36.292501,36.271706
4096000,29.911406,31.558793,36.330329,33.890015,35.643242,37.027983,34.259364,38.830459,40.083946,38.219068,39.172396,39.591462,33.280187,38.305625,39.440919,37.689319,38.803277,39.250300,30.724333,35.274862,36.422936,35.040858,36.714559,36.450665,30.657995,35.031060,36.515420,35.092000,36.395826,36.483762,30.455141,35.538840,36.649052,35.257022,36.436681,36.382331
