Elements,Fenw,LFenw,Byte,LByte,Bit,LBit,LFenwFenw16,LByteByte16,LBitBit16,Fenw(16),LFenw(16),Byte(16),LByte(16),Bit(16),LBit(16),LFenwFenw16(16),LByteByte16(16),LBitBit16(16),Fenw(32),LFenw(32),Byte(32),LByte(32),Bit(32),LBit(32),LFenwFenw16(32),LByteByte16(32),LBitBit16(32),Fenw(64),LFenw(64),Byte(64),LByte(64),Bit(64),LBit(64),LFenwFenw16(64),LByteByte16(64),LBitBit16(64)
32000,55.914742,63.603081,68.306341,66.820105,70.315032,72.392312,62.729766,74.979920,73.411605,51.043823,54.244896,56.994542,56.053784,59.990235,58.706792,54.087749,60.559148,63.555823,51.878845,53.528733,56.205585,57.186685,59.581023,58.308270,55.137162,60.185098,62.509162,57.121219,58.144805,60.001780,59.715903,62.007421,61.601496,60.638262,64.985289,66.498141
38400,57.412723,64.525266,68.745872,66.549900,71.921124,73.008196,63.528768,75.124426,74.430183,50.927308,55.176811,56.715781,56.384267,60.158319,58.905513,54.262040,60.787297,63.331387,52.004291,53.329351,56.177106,56.434300,59.963680,59.073692,55.064461,60.111426,62.317197,57.048651,58.069295,60.564147,60.511826,62.308081,62.394187,60.582579,65.291895,66.934317
44800,58.087344,65.420952,70.092170,68.164202,72.480507,73.988039,64.355547,76.600949,76.154605,51.743230,55.744280,57.942657,57.265556,60.866919,61.000811,55.222070,62.536683,64.150157,52.539324,54.312501,57.445931,57.045161,60.409067,60.322286,55.862276,61.436125,63.595314,58.134984,59.290090,60.944097,63.389930,62.630319,62.111028,61.831935,65.711098,67.288929
51200,58.929284,66.913073,71.436110,69.167582,73.919682,76.043609,65.473060,78.103991,76.736792,52.540229,57.763296,58.919425,58.862531,62.042678,60.991674,56.179827,62.815057,65.554523,53.409185,55.289258,57.920721,57.848761,61.821796,60.266356,56.724713,61.990736,64.288204,59.784149,59.869349,61.667735,61.363337,63.503002,62.947507,61.751387,66.229202,68.279211
57600,59.732063,67.427908,72.144069,70.561615,75.169906,76.141633,66.134035,79.461202,78.111996,53.387521,57.691289,59.947666,59.176612,62.908445,62.092257,56.960274,64.261165,66.319222,54.496999,56.207191,58.512401,59.053482,62.435981,61.346118,57.610827,63.369613,65.592628,59.744965,61.131923,62.770784,62.734328,66.050805,63.937040,62.852015,67.379895,70.571839
64000,60.560968,68.570378,73.395917,71.573892,76.180500,77.936745,67.291478,80.612387,79.209602,54.442773,58.740859,60.818729,60.282745,64.490107,63.043227,57.996712,65.176733,67.292084,55.691152,57.711011,60.866235,60.885575,65.706877,63.775850,59.327833,65.623426,68.026351,60.809523,62.452745,64.912618,65.504854,67.090665,66.495783,64.847031,69.793462,71.979430
128000,64.585840,73.688728,77.565467,75.724020,81.464093,82.639214,71.762061,87.632935,84.134366,58.592382,65.272946,65.949344,65.514176,69.741552,68.962234,62.583386,70.273543,73.531833,58.972363,61.534169,64.404754,64.693173,68.964160,66.974292,62.910842,69.081729,72.463973,64.612102,66.856947,69.330405,70.184655,72.195038,71.567023,68.678883,74.888775,78.571772
192000,67.228319,75.607610,79.876615,78.433181,83.887290,85.403801,74.254973,88.117747,87.816090,61.242782,69.090409,69.371011,68.918976,73.162986,72.897064,65.541091,73.498984,76.888839,61.052252,64.211524,66.954192,67.695475,72.234580,69.978554,65.699365,71.774803,74.947944,66.273136,68.633877,70.844459,70.945040,74.106135,72.961031,70.178915,75.931774,79.167880
256000,69.509725,77.691974,82.439463,80.637324,86.291844,89.016314,76.689299,90.851241,89.315697,63.998443,71.692938,71.847634,71.434620,76.030668,76.128440,68.160791,76.435978,79.932020,63.874196,67.247244,73.468956,73.425148,75.240367,72.714238,67.989329,74.667991,78.404536,68.315831,71.123245,73.625268,73.834730,76.575308,76.554240,75.211386,78.996867,81.975378
320000,71.324614,78.690331,83.207983,81.819387,87.794877,89.036503,78.266723,91.707666,90.629206,65.200980,73.860590,73.677997,73.894365,78.403966,78.654290,70.298117,77.822276,81.667296,64.385014,69.125794,71.293881,71.523139,77.527484,74.666546,69.700476,75.930181,79.798166,69.279998,72.228726,74.823202,75.220428,78.747725,77.270151,73.865084,79.959795,83.342916
384000,73.408339,80.610037,84.686319,83.093622,89.085841,91.000475,81.243195,93.194824,92.038471,66.832350,74.610354,76.106491,75.445839,79.981173,79.846902,71.993522,79.577157,83.653604,65.520342,71.117796,72.849174,73.150486,79.157515,76.627270,71.132193,77.429297,81.235043,70.778684,73.584557,76.051135,76.725589,80.242328,78.405395,74.992974,81.741240,84.926857
