Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
60800,1.005000,1.018684,0.162237,0.176316,0.131447,0.145132,1.015263,0.174079,0.143421,0.172632,0.141842,0.143289,1.015263,0.174079,0.143421,0.172632,0.141842,0.143289,1.015263,0.174079,0.143421,0.172632,0.141842,0.143289,1.015263,0.174079,0.143421,0.172632,0.141842,0.143289,1.015263,0.174079,0.143421,0.172632,0.141842,0.143289
61440,1.004948,1.018490,0.162240,0.176172,0.131380,0.144922,1.015104,0.173958,0.143229,0.172526,0.141667,0.143099,1.015104,0.173958,0.143229,0.172526,0.141667,0.143099,1.015104,0.173958,0.143229,0.172526,0.141667,0.143099,1.015104,0.173958,0.143229,0.172526,0.141667,0.143099,1.015104,0.173958,0.143229,0.172526,0.141667,0.143099
62080,1.004897,1.018299,0.162113,0.175902,0.131314,0.144716,1.014948,0.173711,0.143041,0.172294,0.141495,0.142912,1.014948,0.173711,0.143041,0.172294,0.141495,0.142912,1.014948,0.173711,0.143041,0.172294,0.141495,0.142912,1.014948,0.173711,0.143041,0.172294,0.141495,0.142912,1.014948,0.173711,0.143041,0.172294,0.141495,0.142912
62720,1.004847,1.018112,0.162117,0.175765,0.131250,0.144515,1.014796,0.173597,0.142857,0.172194,0.141327,0.142730,1.014796,0.173597,0.142857,0.172194,0.141327,0.142730,1.014796,0.173597,0.142857,0.172194,0.141327,0.142730,1.014796,0.173597,0.142857,0.172194,0.141327,0.142730,1.014796,0.173597,0.142857,0.172194,0.141327,0.142730
63360,1.004798,1.017929,0.161995,0.175505,0.131187,0.144318,1.014646,0.173359,0.142677,0.171970,0.141162,0.142551,1.014646,0.173359,0.142677,0.171970,0.141162,0.142551,1.014646,0.173359,0.142677,0.171970,0.141162,0.142551,1.014646,0.173359,0.142677,0.171970,0.141162,0.142551,1.014646,0.173359,0.142677,0.171970,0.141162,0.142551
64000,1.004750,1.017750,0.162000,0.175375,0.131125,0.144125,1.014500,0.173250,0.142500,0.171875,0.141000,0.142375,1.014500,0.173250,0.142500,0.171875,0.141000,0.142375,1.014500,0.173250,0.142500,0.171875,0.141000,0.142375,1.014500,0.173250,0.142500,0.171875,0.141000,0.142375,1.014500,0.173250,0.142500,0.171875,0.141000,0.142375
76800,1.003958,1.015625,0.161667,0.173125,0.130104,0.141771,1.012083,0.171042,0.139583,0.169896,0.138333,0.139479,1.012083,0.171042,0.139583,0.169896,0.138333,0.139479,1.012083,0.171042,0.139583,0.169896,0.138333,0.139479,1.012083,0.171042,0.139583,0.169896,0.138333,0.139479,1.012083,0.171042,0.139583,0.169896,0.138333,0.139479
89600,1.003393,1.013393,0.160893,0.170714,0.129375,0.139375,1.010357,0.168929,0.137500,0.167946,0.136429,0.137411,1.010357,0.168929,0.137500,0.167946,0.136429,0.137411,1.010357,0.168929,0.137500,0.167946,0.136429,0.137411,1.010357,0.168929,0.137500,0.167946,0.136429,0.137411,1.010357,0.168929,0.137500,0.167946,0.136429,0.137411
102400,1.002969,1.011719,0.160312,0.168906,0.128828,0.137578,1.009062,0.167344,0.135937,0.166484,0.135000,0.135859,1.009062,0.167344,0.135937,0.166484,0.135000,0.135859,1.009062,0.167344,0.135937,0.166484,0.135000,0.135859,1.009062,0.167344,0.135937,0.166484,0.135000,0.135859,1.009062,0.167344,0.135937,0.166484,0.135000,0.135859
115200,1.002639,1.010417,0.159861,0.167500,0.128403,0.136181,1.008056,0.166111,0.134722,0.165347,0.133889,0.134653,1.008056,0.166111,0.134722,0.165347,0.133889,0.134653,1.008056,0.166111,0.134722,0.165347,0.133889,0.134653,1.008056,0.166111,0.134722,0.165347,0.133889,0.134653,1.008056,0.166111,0.134722,0.165347,0.133889,0.134653
