Elements,Fenw,LFenw,Byte,LByte,Bit,LBit,LFenwFenw16,LByteByte16,LBitBit16,Fenw(16),LFenw(16),Byte(16),LByte(16),Bit(16),LBit(16),LFenwFenw16(16),LByteByte16(16),LBitBit16(16),Fenw(32),LFenw(32),Byte(32),LByte(32),Bit(32),LBit(32),LFenwFenw16(32),LByteByte16(32),LBitBit16(32),Fenw(64),LFenw(64),Byte(64),LByte(64),Bit(64),LBit(64),LFenwFenw16(64),LByteByte16(64),LBitBit16(64)
2240000000,2.000000,2.000000,1.156983,1.156374,1.125000,1.125001,2.000073,1.157062,1.125096,1.062500,1.062500,1.016358,1.015749,1.011719,1.011720,1.062505,1.016363,1.011725,1.031250,1.031250,1.008545,1.007936,1.006348,1.006349,1.031253,1.008548,1.006351,1.015625,1.015625,1.004639,1.004030,1.003418,1.003419,1.015627,1.004641,1.003420
2400000000,2.000000,2.000000,1.156983,1.156374,1.125000,1.125001,2.000073,1.157062,1.125096,1.062500,1.062500,1.016358,1.015748,1.011719,1.011720,1.062505,1.016363,1.011725,1.031250,1.031250,1.008545,1.007936,1.006348,1.006349,1.031253,1.008548,1.006351,1.015625,1.015625,1.004639,1.004030,1.003418,1.003419,1.015626,1.004640,1.003420
2560000000,2.000000,2.000000,1.156983,1.156374,1.125000,1.125001,2.000073,1.157062,1.125096,1.062500,1.062500,1.016358,1.015748,1.011719,1.011720,1.062505,1.016363,1.011725,1.031250,1.031250,1.008545,1.007936,1.006348,1.006349,1.031253,1.008548,1.006351,1.015625,1.015625,1.004639,1.004030,1.003418,1.003419,1.015626,1.004640,1.003420
2720000000,2.000000,2.000000,1.156983,1.156373,1.125000,1.125001,2.000073,1.157062,1.125096,1.062500,1.062500,1.016358,1.015748,1.011719,1.011720,1.062505,1.016363,1.011725,1.031250,1.031250,1.008545,1.007936,1.006348,1.006348,1.031253,1.008548,1.006351,1.015625,1.015625,1.004639,1.004030,1.003418,1.003419,1.015626,1.004640,1.003420
2880000000,2.000000,2.000000,1.156983,1.156373,1.125000,1.125001,2.000073,1.157062,1.125096,1.062500,1.062500,1.016358,1.015748,1.011719,1.011720,1.062505,1.016363,1.011725,1.031250,1.031250,1.008545,1.007936,1.006348,1.006348,1.031253,1.008548,1.006351,1.015625,1.015625,1.004639,1.004030,1.003418,1.003419,1.015626,1.004640,1.003420
3040000000,2.000000,2.000000,1.156983,1.156373,1.125000,1.125001,2.000073,1.157062,1.125096,1.062500,1.062500,1.016358,1.015748,1.011719,1.011719,1.062505,1.016363,1.011725,1.031250,1.031250,1.008545,1.007936,1.006348,1.006348,1.031253,1.008548,1.006351,1.015625,1.015625,1.004639,1.004029,1.003418,1.003419,1.015626,1.004640,1.003420
3200000000,2.000000,2.000000,1.156983,1.156373,1.125000,1.125001,2.000073,1.157062,1.125096,1.062500,1.062500,1.016358,1.015748,1.011719,1.011719,1.062505,1.016363,1.011725,1.031250,1.031250,1.008545,1.007936,1.006348,1.006348,1.031252,1.008548,1.006351,1.015625,1.015625,1.004639,1.004029,1.003418,1.003419,1.015626,1.004640,1.003420
3360000000,2.000000,2.000000,1.156983,1.156373,1.125000,1.125001,2.000073,1.157062,1.125096,1.062500,1.062500,1.016358,1.015748,1.011719,1.011719,1.062505,1.016363,1.011725,1.031250,1.031250,1.008545,1.007936,1.006348,1.006348,1.031253,1.008548,1.006351,1.015625,1.015625,1.004639,1.004029,1.003418,1.003419,1.015626,1.004640,1.003420
3520000000,2.000000,2.000000,1.156983,1.156373,1.125000,1.125001,2.000073,1.157062,1.125096,1.062500,1.062500,1.016358,1.015748,1.011719,1.011719,1.062505,1.016363,1.011725,1.031250,1.031250,1.008545,1.007936,1.006348,1.006348,1.031253,1.008548,1.006351,1.015625,1.015625,1.004639,1.004029,1.003418,1.003419,1.015626,1.004640,1.003420
3680000000,2.000000,2.000000,1.156983,1.156373,1.125000,1.125001,2.000073,1.157062,1.125096,1.062500,1.062500,1.016358,1.015748,1.011719,1.011719,1.062505,1.016363,1.011725,1.031250,1.031250,1.008545,1.007936,1.006348,1.006348,1.031253,1.008548,1.006351,1.015625,1.015625,1.004639,1.004029,1.003418,1.003419,1.015626,1.004640,1.003420
