Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[26]byte,fixed[26]bit,fixed[32]byte,fixed[32]bit
4600,40.384227,43.126837,44.571403,45.968317,49.405302,46.718749,45.708853,51.638887,45.875300,51.943406
4800,40.356063,43.305579,44.557957,46.179326,49.466107,46.749115,45.621292,51.046370,45.769002,51.393470
5000,40.354683,43.043714,44.515783,45.941924,49.381392,46.662629,45.578886,51.039599,45.840961,51.280926
5200,40.385153,43.230530,44.530523,46.041356,49.409607,46.745485,45.593628,51.025154,45.806024,51.343418
5400,40.362678,43.024466,44.524530,45.893961,49.480558,46.639274,45.616487,51.015871,45.797207,51.298392
5600,40.376887,43.043146,44.423208,45.889564,49.246888,46.567233,45.563938,51.523860,45.829287,51.694995
5800,40.345714,43.100990,44.400619,45.877083,49.272982,46.541172,45.460720,50.931037,45.634847,51.197780
6000,40.266207,42.962013,44.332969,45.771016,49.233398,46.417947,45.388745,50.862484,45.700540,51.131287
6200,40.445807,43.105458,44.583354,46.083807,49.449044,46.769782,45.654430,51.053950,45.766580,51.360340
6400,40.464564,43.065194,44.522489,46.007007,49.369131,46.867706,45.858973,51.046284,46.078344,51.338837
6600,40.375724,43.050751,44.496531,45.897548,49.353984,46.640639,45.549161,51.034184,45.795484,51.299335
6800,40.308340,43.000982,44.513029,45.819019,49.340820,46.678340,45.468736,50.959146,45.725835,51.242486
7000,40.326803,43.072705,44.437714,46.007882,49.273176,46.591628,45.482749,50.893707,45.775307,51.216640
7200,40.354850,43.025253,44.627559,46.019382,49.390697,46.704160,45.545332,50.901134,45.795337,51.266434
7400,40.525434,42.980239,44.427736,45.799792,49.233313,46.549126,45.472538,50.867675,45.688855,51.141673
7600,40.273658,43.003906,44.505488,45.856633,49.306887,46.559527,45.956955,50.857362,46.093622,51.096399
7800,40.274277,43.086741,44.373952,45.866323,49.153873,46.437748,45.373077,50.784979,45.654037,51.116283
8000,40.241732,42.904373,44.328650,45.693350,49.164803,46.476799,45.441079,50.842541,45.613388,51.071003
8200,42.176243,43.865182,45.569167,47.046077,50.548921,48.716091,46.527245,52.152873,46.703696,52.559513
8400,41.004961,43.698679,45.565894,47.028194,50.798703,47.762234,46.426359,52.049550,46.527252,52.422059
8600,40.970784,43.740098,45.365736,46.941007,50.421822,47.785603,46.371678,52.074524,46.658855,52.372718
8800,40.955197,43.719386,45.401673,46.912107,50.444863,47.847617,46.407165,51.984805,46.605262,52.402237
9000,40.954962,43.719374,45.258502,46.928385,50.369984,47.627120,46.387156,52.397669,46.615496,52.618098
9200,40.874495,43.650158,45.225115,46.727549,50.327790,47.547421,46.308249,52.111201,46.518556,52.548035
9400,40.869461,43.700095,45.302868,46.796847,50.343370,47.638638,46.295938,51.943658,46.602191,52.331106
9600,40.981720,43.694070,45.380033,46.819972,50.241145,47.633660,46.468085,52.217364,46.610269,52.538938
9800,40.859466,43.617682,45.380638,46.734681,50.386350,47.518829,46.245117,51.846340,46.412387,52.180299
10000,40.793009,44.007780,45.209479,46.754248,50.291600,47.517895,46.222173,51.769649,46.478079,52.189177
13000,40.841457,43.589086,45.210410,46.732567,50.172765,47.417682,46.391513,51.765701,46.612278,52.230051
16000,40.735806,43.427150,44.998824,46.570689,50.064249,47.349730,46.044874,51.653761,46.274085,51.991912
19000,41.331809,44.151754,45.949874,47.573025,51.196835,48.352683,46.971268,52.731866,47.229364,53.150505
22000,41.292001,44.107541,45.792897,47.803962,51.035487,48.349909,47.005639,52.736868,47.239377,53.004634
25000,41.355964,44.070653,45.929714,47.558354,51.215090,48.498701,46.952786,52.768824,47.151947,53.160839
28000,41.793232,44.032126,45.790223,47.470142,51.047429,48.372429,46.910490,53.056953,47.208455,52.982562
31000,41.401389,44.075750,45.765723,47.430173,51.038515,48.376122,46.867157,52.645247,47.030566,52.966839
34000,41.934716,44.722058,46.777326,48.655237,52.362807,49.625424,47.843648,53.915072,48.078600,54.199659
37000,41.955692,45.049225,46.725110,48.646196,52.276894,49.713865,47.823269,53.879120,48.120417,54.143637
40000,41.929438,44.623106,46.601808,48.540303,52.202280,49.581120,47.732537,53.879528,48.104585,54.052739
43000,41.868568,44.567019,46.566089,48.824992,52.169731,50.154924,47.755211,53.791328,47.989141,54.033200
46000,41.896889,44.549341,46.482101,48.553541,52.119987,49.658394,47.679416,53.723416,48.018588,54.156917
49000,41.742582,44.407523,46.400737,48.415371,52.156071,49.431408,47.562919,53.702811,48.488826,53.913415
52000,41.915808,44.584323,46.587344,48.846668,52.285719,49.718468,47.820930,53.902373,48.165055,54.199755
55000,41.953558,44.624116,46.563219,48.654050,52.288331,49.752266,47.726873,53.976414,48.819100,54.143614
58000,41.882781,44.565047,46.581953,48.600041,52.262515,49.853549,47.816095,53.981225,48.657853,54.159080
61000,41.860240,44.521361,46.459070,48.580315,52.196816,49.975627,47.721728,53.973611,47.978009,54.096683
64000,41.896657,44.512964,46.627207,48.548858,52.347381,49.873702,47.648481,53.822960,47.930589,54.068514
67000,42.586562,45.217416,47.783182,50.553965,53.819858,51.429312,49.013796,55.550306,49.361589,55.602162
70000,42.532848,45.183279,47.655190,50.065017,53.906880,51.164100,48.895930,55.420435,49.257285,55.547367
73000,42.414274,45.182953,47.543620,49.976013,53.655532,51.099578,48.820002,55.484770,49.226995,55.365466
76000,42.416991,45.151985,47.547109,50.086155,53.611308,51.123420,48.831698,55.266687,49.190670,55.439134
79000,42.424944,45.060222,47.398742,49.902825,53.476961,51.041849,48.706810,55.189629,49.000283,55.389775
82000,42.483584,45.130490,47.564768,49.918243,53.644713,51.158510,48.940502,55.229804,49.170028,55.485182
85000,42.462556,45.177577,47.485698,49.916184,53.670288,51.172328,48.859659,55.303595,49.534104,55.440413
88000,42.433822,45.037496,47.460412,49.891554,53.616188,51.066646,48.721566,55.137097,49.032252,55.317001
91000,42.439851,45.001344,47.382677,49.790028,53.495414,51.049317,48.717549,55.196843,49.026209,55.340726
94000,42.445104,45.101127,47.944554,50.027560,53.504776,51.092665,48.656488,55.108769,49.009712,55.282222
97000,42.367025,44.986953,47.923547,49.833647,53.352498,50.930227,48.563425,54.955813,48.912764,55.178924
100000,42.578943,45.307856,47.662242,50.235736,53.865648,51.460372,49.052842,55.481861,49.357867,55.649819
140000,42.990137,45.729940,48.741159,51.559057,55.229158,52.848369,50.247279,56.939096,50.497088,56.954497
180000,42.916463,45.604876,48.389195,51.211707,54.854858,52.633644,49.872727,56.451354,50.098213,56.591604
220000,43.350428,45.890839,48.549824,51.348428,55.020684,52.771445,49.978830,56.622349,50.295352,56.758094
260000,43.572895,45.821078,48.267594,50.994536,54.741077,52.463158,49.882655,56.374723,49.958755,56.527340
300000,44.067475,46.343424,49.893357,53.120106,57.962112,54.164918,51.607830,58.195663,51.611467,58.263085
340000,45.183145,47.155998,49.782833,52.668561,56.660468,54.056546,51.319019,58.197687,51.480920,58.182351
380000,44.787661,47.233181,49.685087,52.652610,56.347763,54.050284,51.149497,57.950197,51.293043,57.981879
420000,47.302755,50.104466,49.785566,52.958339,56.579644,54.305767,51.511938,58.264731,51.602173,58.317844
460000,49.422104,51.655177,49.956820,53.562217,56.711116,54.579439,51.448334,58.280517,51.671289,58.378427
500000,53.366483,55.521723,50.236043,52.889916,56.596565,54.329729,51.426049,58.312244,51.676451,58.339292
540000,56.714575,58.741552,51.993355,55.385316,58.837547,56.612768,53.753221,60.375139,53.924466,60.421672
580000,63.122317,65.410777,52.160673,55.363375,59.240283,56.502205,53.950633,60.582593,54.042592,60.482258
620000,67.170233,68.237846,52.652681,55.893715,59.606765,57.337517,54.433150,60.966950,54.615779,61.062203
660000,71.726984,72.109506,53.143519,56.721280,59.839458,57.540435,54.906542,61.296907,55.024603,61.401881
700000,73.392201,73.693556,55.134329,58.285072,61.116569,59.312568,56.791054,62.529847,57.172935,62.858366
740000,77.032526,77.116069,55.278328,58.470569,62.115773,59.369074,56.985846,63.807714,57.166153,63.066201
780000,80.673300,79.849558,56.855484,60.064027,62.741456,60.892742,58.647952,64.327129,58.729002,64.769656
820000,83.313827,82.595701,58.473869,61.445007,64.420799,62.852877,60.329562,66.097666,60.862282,66.270975
860000,84.440309,83.917695,60.073916,62.956660,66.286864,64.208317,61.974978,67.723142,62.068456,68.057394
900000,86.904783,85.905941,61.564166,65.068668,68.530114,65.129379,63.593628,69.235620,63.551662,68.973470
940000,88.948809,88.242954,63.363060,66.584113,69.779937,66.808550,65.347694,70.705903,65.504305,70.679495
980000,92.261402,90.758629,64.864665,68.171413,70.398899,68.006068,66.656319,72.181664,67.157508,72.255809
1000000,91.641883,90.371765,66.074596,68.845073,71.820457,69.311286,68.111574,73.425039,68.097127,73.435117
1500000,104.059318,103.342252,85.769559,88.487800,91.044311,88.343132,87.775242,95.524110,88.108725,92.589542
2000000,108.197289,107.893076,97.240600,101.429051,102.575335,99.535650,99.304923,104.223218,99.400284,104.804796
2500000,112.360901,112.607549,106.606302,108.946464,111.031404,108.712401,108.222898,112.332712,108.194286,112.590092
3000000,112.779242,113.069181,109.536757,112.164910,114.516401,111.326253,111.844282,115.595951,111.651442,115.628037
3500000,115.652634,116.058033,113.877651,116.394048,119.465581,116.685430,116.031244,120.898221,116.038816,120.845516
4000000,115.896505,117.148393,116.024126,118.329381,121.545739,118.522729,118.255773,122.871625,118.114736,122.921925
4500000,118.275820,119.306629,120.714230,123.014605,125.336459,122.337001,122.605206,126.705724,123.037725,126.597639
5000000,118.806164,119.869009,121.881016,124.383709,126.942571,123.880598,123.859717,128.186322,123.983902,128.421782
5500000,119.333995,120.329881,122.963771,124.879570,128.087246,124.805391,124.969923,129.321670,125.081419,129.225851
