Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64
12800,22.096111,22.422068,22.619530,22.188036,22.165682,22.603437,22.687474,24.108411,24.955153,24.319636,24.265802,24.338621,25.299034,24.987718,24.929821,25.069856,25.158624,25.034128,26.275210,26.278069,26.290937,26.378620,26.420133,26.424979,25.160796,25.154072,25.241355,25.121114,25.135765,25.005355,26.392795,26.284555,26.451692,26.302849,26.576547,26.378148,25.319720,25.287161,25.192751,25.129149,25.122539,25.165449,26.366881,26.365556,26.600362,26.476628,26.410531,26.338842,25.159014,25.026865,25.484894,25.395913,24.971168,25.185050,26.467181,26.360230,26.336263,26.282489,26.526396,26.516698
19200,21.959316,22.052930,22.702574,22.695844,22.830299,23.230422,23.220679,24.251652,25.126466,24.376251,25.032969,24.920580,27.057755,26.671680,26.586661,26.755975,26.853989,26.704264,27.778520,27.742830,27.676319,27.825428,27.819979,27.756285,26.709842,26.831445,26.974161,26.716091,26.935587,26.897118,27.927230,27.795069,27.694113,27.791868,27.987717,27.785829,27.015344,27.097839,26.892888,26.723836,26.906575,26.889175,27.749865,27.729462,28.111389,28.131491,27.881346,27.791100,26.814905,26.806144,27.375421,27.172242,26.767990,26.889623,27.920026,27.891491,27.711032,27.857691,27.968161,27.955168
25600,22.796484,22.992949,23.723911,23.793081,23.961376,24.318780,24.237925,25.143939,25.810549,25.044107,25.781618,25.730551,28.049522,27.596856,27.565904,27.683445,27.778982,27.776680,28.620614,28.532521,28.503458,28.782113,28.539299,28.579356,27.547049,27.708254,27.926117,27.645495,27.935156,27.759608,28.719416,29.046944,28.326222,28.620339,28.678043,28.541726,28.065942,28.294192,27.588662,27.655179,27.894375,27.846826,28.553632,28.596800,28.762284,28.866467,28.460297,28.383949,27.606060,27.679839,28.229993,28.174081,27.873458,27.948951,28.731717,28.695039,28.508573,28.575363,28.727780,28.723539
32000,24.003780,24.260820,25.246873,25.388863,25.619264,25.955576,25.297945,26.457403,26.936580,26.397141,26.576675,26.726942,28.705232,28.177345,27.946457,28.287710,28.478031,28.661203,29.383572,29.172384,29.029528,29.125442,29.085548,29.034594,28.593671,28.511278,28.563463,28.276937,28.612656,28.482281,29.645826,29.563062,28.980831,29.651247,29.478799,29.499639,29.079629,29.314916,28.261719,28.254151,28.461478,28.451392,29.100588,29.303274,29.076537,29.367450,28.983596,29.016264,27.992812,28.563902,29.000035,28.884203,28.454253,28.552986,29.259537,29.433430,29.037437,29.219862,29.044479,29.338284
38400,23.843248,24.140812,25.005106,25.073038,25.335214,25.687346,25.188847,26.293517,26.762673,26.170855,26.522099,26.650241,28.640557,28.739825,28.419484,28.544649,28.888148,28.942388,29.485280,29.598145,29.526185,29.593033,29.406453,29.316237,28.757679,28.892882,29.059063,28.660079,28.973364,28.583527,29.705537,29.499812,28.954368,29.630696,29.566459,29.680423,29.252483,29.494654,28.714254,28.669560,28.724103,28.902047,29.610956,29.802961,29.430753,29.783976,29.437193,29.398358,28.469307,29.129059,29.559911,29.313321,29.015909,29.006327,29.660979,29.840896,29.473741,29.639675,29.529037,29.799391
44800,23.693757,23.755787,24.992606,25.321585,25.543759,25.888215,25.043644,26.362659,26.786361,26.343122,26.401904,26.591087,29.494567,29.672818,29.452691,29.600478,30.049286,30.095113,30.358421,30.702057,30.719310,30.601766,30.470226,30.297633,28.940704,29.213048,29.372173,29.191412,29.175483,28.865666,29.944837,29.519609,29.406742,29.954555,29.889935,30.074279,29.490801,29.928538,28.958200,28.940017,28.870606,29.222163,29.997908,30.151351,29.712061,30.139222,29.656307,29.736708,28.754569,29.454859,29.878934,29.548013,29.343175,29.350005,29.939180,30.025508,29.810147,29.913834,29.634141,30.125981
51200,23.898525,23.917717,25.304823,25.693691,25.894958,26.401696,25.212061,26.741664,27.200258,26.688360,26.799994,27.095505,30.448307,30.522717,30.323573,30.484310,30.919773,30.925821,31.194698,31.483400,31.588431,31.493605,31.570528,31.366101,29.203178,29.505418,29.702510,29.221717,29.543793,29.243157,30.203176,29.704706,29.786404,30.193624,30.046724,30.450517,29.855265,30.168483,29.348155,29.241862,29.207472,29.484819,30.291603,30.312689,29.889954,30.462719,30.057346,30.216003,29.006890,29.655598,30.221370,29.823815,29.627885,29.744150,30.220672,30.087697,30.228158,30.136437,30.056282,30.455981
57600,23.878813,24.058730,25.476610,25.926887,26.101061,26.711065,25.342620,27.052227,27.414940,26.926081,27.031741,27.297230,30.777469,30.851135,30.747594,31.002649,31.237556,31.228937,31.475558,31.848608,31.946259,31.745935,32.037301,31.921382,29.518181,29.552761,29.996723,29.505966,29.769049,29.499512,30.312497,29.962714,30.189262,30.234785,30.261581,30.609918,30.101123,30.259463,29.577183,29.512926,29.470551,29.735587,30.583574,30.387263,30.181728,30.727812,30.333276,30.665579,29.519731,29.812934,30.474998,30.016888,29.840854,30.027501,30.422591,30.233352,30.074309,30.306718,30.158440,30.632789
64000,24.513839,24.901817,26.220187,26.433308,26.692378,27.339661,25.925368,27.765555,27.852461,27.503650,27.404710,27.689440,31.013653,31.109764,31.064886,31.335260,31.536934,31.542713,31.749996,32.159727,32.288981,31.980601,32.357043,32.325239,29.859752,29.925250,30.307642,29.906497,30.002228,29.888909,30.613567,30.308892,30.499021,30.490852,30.623113,30.734867,30.334483,30.510930,29.986591,29.908312,29.903996,29.973195,30.811543,30.472205,30.475135,30.975599,30.622168,31.078724,29.873079,29.944690,30.694045,30.320411,29.985773,30.262331,30.719334,30.511162,30.328535,30.494080,30.705208,30.981155
128000,25.302187,25.913576,27.503420,27.391771,27.857012,28.555435,26.730161,28.614450,28.737702,28.563483,28.381395,28.591845,31.142774,31.536780,31.925781,31.932341,32.099888,32.020571,32.353047,33.061586,33.064418,32.880498,33.036241,32.816823,32.749024,32.766826,32.955587,33.264580,33.155753,33.257263,33.495477,33.695136,34.025009,33.620597,34.113966,33.913327,32.599529,33.156557,32.787113,33.168340,33.247649,32.707964,33.655519,33.175534,33.307584,33.330304,33.339053,33.810380,32.509742,32.648832,32.960615,33.285892,32.799904,33.133627,33.478298,33.222213,33.058827,33.362236,33.207470,34.046083
192000,25.212809,25.910794,27.723542,27.517716,28.198448,28.752120,26.746291,28.821517,28.973434,28.880282,28.643452,28.842440,31.047451,31.508047,31.871922,31.902621,32.036840,31.974047,32.243814,32.953041,33.052896,32.789835,33.061856,32.939715,31.887564,32.093415,32.602908,32.866036,32.883756,32.886381,32.741342,33.247008,33.433252,33.165083,33.596851,33.371157,33.896532,34.036034,33.962877,34.342311,34.436321,34.463364,34.720487,34.582355,34.806308,34.813597,35.070299,35.012809,35.413936,35.508837,35.823923,36.502258,35.613817,36.332694,36.437842,36.117632,36.055174,36.270705,36.471018,37.049730
256000,25.704714,26.736913,28.387235,27.899633,28.819372,29.470995,27.113218,29.599229,29.813671,29.695348,29.348900,29.673991,31.653840,32.243333,32.435226,32.488053,32.598909,32.869682,32.832094,33.605710,33.782608,33.351141,33.779078,33.836769,32.641109,33.033688,33.511376,33.719539,33.681023,33.832846,33.607080,34.149580,34.333345,34.105133,34.546144,34.351667,35.179183,35.673585,35.471727,36.511573,36.516491,36.143480,36.237530,36.531610,37.041636,36.617611,37.154883,36.851687,38.412336,38.374178,38.681407,39.510267,38.302389,39.212989,39.183336,38.971680,38.828424,38.972379,39.202065,39.882707
320000,25.730993,26.757162,28.471661,27.986698,28.937017,29.852001,27.199839,29.658846,29.893204,29.836618,29.527540,29.755191,31.735629,32.247212,32.467650,32.575925,32.629770,32.757966,32.930690,33.634973,33.792582,33.409106,33.798396,33.896364,32.272800,32.638751,33.218191,33.364275,33.431044,33.688302,33.254851,33.791021,33.993886,33.710654,34.211078,34.090004,34.569810,34.975202,35.021655,35.964234,36.015107,35.383296,35.510233,36.052047,36.633626,35.956332,36.666101,36.184109,38.197062,38.209986,38.383177,39.008614,38.218370,39.068879,39.141920,38.869748,38.784236,39.008515,39.228807,39.541648
384000,25.799352,26.917809,28.620762,28.078549,29.112563,29.672830,27.196272,29.855083,30.047138,29.941686,29.716282,29.885568,31.576757,32.298388,32.614100,32.481565,32.677705,32.839779,32.881323,33.689898,33.822980,33.360838,33.770080,33.859855,32.658622,33.080523,33.600212,33.688822,33.811160,33.936076,33.690406,34.239587,34.508202,34.147684,34.688613,34.572002,34.529356,34.759166,35.030640,35.906436,35.938641,35.506664,35.557239,36.073126,36.464731,36.094821,36.899041,36.134347,38.480888,38.876328,38.790672,39.630116,38.830971,39.715916,39.697352,39.722753,39.522050,39.452650,39.804628,40.078883
448000,25.995694,27.135479,28.874389,28.307819,29.365712,29.974470,27.331695,30.096006,30.310120,30.332665,29.880963,30.157334,31.580729,32.340258,32.596390,32.566287,32.813506,33.048119,32.967222,33.827745,33.950368,33.507066,33.849646,33.940388,32.999834,33.490690,33.850826,33.999983,34.010360,34.167606,34.087831,34.620751,34.891627,34.467911,34.993838,34.879713,34.557922,34.972270,35.367122,36.071510,36.060921,35.763815,35.617483,36.396023,36.667258,36.317230,37.031217,36.380925,39.781594,40.518274,39.938253,41.542573,40.193013,41.012883,41.423075,41.493066,40.922888,40.753566,41.247073,41.314805
512000,26.308916,27.526711,29.306724,28.661095,29.771875,30.378138,27.715756,30.478873,30.619208,30.510685,30.121492,30.317553,32.003042,32.629196,32.961134,33.063776,33.274431,33.493928,33.234356,34.223437,34.305619,33.869160,34.392679,34.442019,33.434986,33.911577,34.234093,34.438171,34.431352,34.600981,34.464491,35.101514,35.298801,34.899594,35.458651,35.366916,35.269261,35.785557,36.119493,36.777134,36.829012,36.559776,36.318217,37.173562,37.466687,37.053813,37.718569,37.117784,40.864324,42.329218,40.982135,43.241614,41.457660,42.139394,43.237401,43.360660,42.427903,42.046573,42.803508,42.718457
576000,26.591686,27.776640,29.484359,28.874938,30.004662,30.582124,27.935662,30.668606,30.843181,30.728535,30.480763,30.607405,32.205804,32.868482,33.141166,33.216739,33.507082,33.718515,33.473082,34.396204,34.545367,34.373082,34.554385,34.640137,33.552617,34.014572,34.362685,34.574572,34.580735,34.775658,34.534857,35.244664,35.464357,35.064955,35.632838,35.468621,34.961387,35.428896,35.816716,36.645408,36.557081,36.194310,36.123075,36.820673,37.403495,36.807830,37.343272,36.833281,40.154548,41.771367,40.394617,42.655506,40.958867,41.434591,42.610222,42.901209,42.096025,41.625513,42.235863,42.236336
640000,26.384530,27.556949,29.708837,28.779019,29.896788,30.511810,27.859725,30.565958,30.743816,30.655609,30.310394,30.377182,31.948935,32.651329,32.992721,33.045047,33.315585,33.602613,33.298919,34.227304,34.407278,33.913787,34.402334,34.507171,33.388843,33.873737,34.228781,34.458087,34.438185,34.627596,34.416812,35.083287,35.337992,34.894870,35.486263,35.331848,34.806809,35.287523,35.717186,36.617390,36.449041,36.183899,35.982940,36.738577,37.060724,36.706440,37.358262,36.740221,39.564690,40.932765,39.765629,41.933242,40.415547,40.721078,41.897533,42.337429,41.698938,40.971808,41.610853,41.665037
1280000,26.867349,28.208541,30.218159,29.443055,30.610545,31.358557,28.457872,31.310523,31.406431,31.144168,31.025044,31.218433,32.492192,33.111992,33.460270,33.595727,34.122049,34.444212,33.770218,34.765040,34.944502,34.572881,35.154699,35.167462,33.729384,34.290239,34.780764,34.820045,34.938860,35.316198,34.788195,35.694247,35.711168,35.434268,35.975223,35.784242,36.209633,36.781560,37.065690,37.859607,37.765163,37.607478,37.300774,38.057386,38.736634,37.956778,38.772212,38.182592,40.370379,42.109776,40.881006,42.926144,41.574631,42.057486,42.904335,43.445699,43.072908,41.981019,42.692995,42.869622
1920000,27.039339,28.563487,30.770860,29.868838,31.056736,31.846261,28.774364,31.552168,31.840325,31.458432,31.518612,31.643115,32.817790,33.492426,33.845048,33.950630,34.591926,35.022188,34.011584,35.265312,35.442287,34.934400,35.606273,35.624062,34.104682,34.603570,34.911356,35.286122,35.239883,35.827729,35.066009,36.141043,36.286825,35.743579,36.448180,36.245684,36.607466,37.306802,37.352722,37.934930,38.079073,38.072698,37.450951,38.342347,39.023252,38.270918,38.906297,38.495112,41.206326,43.469337,42.197466,44.281192,42.802507,42.897726,44.098631,44.909091,44.053692,43.102828,43.596399,44.057099
2560000,27.407937,28.731956,31.076096,30.093809,31.268155,32.116246,29.074491,31.877762,32.131854,31.657440,31.839897,31.945385,32.938750,33.718962,34.133695,34.199828,34.833271,35.329089,34.191226,35.389300,35.745287,35.217259,35.930464,35.945173,34.434566,34.806309,35.163478,35.547604,35.450367,36.210736,35.296368,36.325816,36.549259,35.999482,36.753231,36.567246,36.946891,37.306568,37.822244,38.182557,38.437035,38.507943,37.780897,38.685530,39.327355,38.598162,39.271716,38.817886,41.551059,43.843360,42.504733,44.635537,43.165848,43.237989,44.501094,45.422594,44.439140,43.436548,44.126416,44.493556
3200000,27.644106,28.934619,31.351768,30.379891,31.436267,32.433580,29.340935,32.133086,32.456579,31.939909,32.054862,32.212557,33.092603,33.927907,34.430575,34.516393,35.156777,35.791925,34.432675,35.657535,36.032693,35.477804,36.235637,36.271216,34.611659,35.045034,35.511466,35.815607,35.726022,36.587172,35.532159,36.603450,36.876962,36.263762,37.058873,36.827499,37.297257,37.540750,37.925629,38.510846,38.892173,38.746352,38.033939,38.976111,39.838947,38.894022,39.533246,39.184884,41.459691,43.862298,42.633655,44.563660,43.373953,43.331600,44.451608,45.519011,44.664358,43.943098,43.769683,44.610240
3840000,27.659945,29.006724,31.501071,30.459606,31.570719,32.598813,29.445333,32.345354,32.574788,32.021475,32.251918,32.403064,33.157714,33.996388,34.601286,34.721793,35.477124,35.936529,34.394201,35.762707,36.135971,35.589969,36.391166,36.339278,34.720188,35.113737,35.483294,35.859893,35.842149,36.790907,35.529882,36.669774,36.982320,36.339307,37.247085,36.902601,37.367387,37.605369,37.953409,38.877156,38.961588,38.977486,38.045612,38.980622,39.914307,38.916662,39.561832,39.244853,41.755657,44.035795,42.800036,44.801081,43.568970,43.715479,44.742468,46.345405,44.687555,43.831315,44.100472,44.945996
4480000,28.212749,29.393517,31.837432,30.796351,31.878894,32.853406,29.720744,32.584508,32.883594,32.262427,32.538326,32.688369,33.490782,34.652576,34.918712,35.095895,35.693277,36.424652,34.687262,36.171582,36.543734,35.968457,36.847311,36.749977,34.968592,35.514045,35.961296,36.390745,36.184177,37.290673,35.972838,37.087786,37.417654,36.752787,37.608945,37.272859,37.836923,38.177269,38.528346,39.233724,39.565862,39.511756,38.525520,39.573460,40.450419,39.424725,40.142552,39.831273,42.478656,44.967881,43.494492,45.644422,44.309003,44.396459,45.545205,46.579316,45.467751,44.452593,44.776816,45.511460
5120000,27.913151,29.228744,31.756941,30.614394,31.789887,32.859509,29.654821,32.562291,32.841273,32.222549,32.503552,32.626654,33.359028,34.256721,34.813140,34.999689,35.614611,36.328905,34.561825,35.998632,36.423237,35.860460,36.756736,36.662493,34.875845,35.381268,35.850384,36.130375,36.143801,37.275963,35.817793,36.927894,37.305690,36.597125,37.496709,37.186121,37.664877,37.963743,38.282181,39.060452,39.302840,39.331330,38.414759,39.314424,40.251830,39.214157,39.902371,39.689949,42.061073,44.321113,43.178157,45.139270,43.989113,44.155338,45.018201,46.072411,45.019852,44.199633,44.624423,45.142305
5760000,27.983625,29.297127,31.907765,30.679763,31.852148,33.011572,29.602720,32.632282,32.919204,32.274644,32.581912,32.731549,33.413117,34.246077,34.918816,35.097630,35.658814,36.478302,34.598536,36.046234,36.598945,35.992494,36.835892,36.711921,34.838114,35.396277,35.878670,36.201596,36.187019,37.251093,35.810391,37.001931,37.426513,36.683439,37.592022,37.265823,37.755566,37.980117,38.292997,39.075841,39.403443,39.400184,38.353633,39.317942,40.610601,39.297289,39.951113,39.647150,42.177297,44.617959,43.285126,45.255830,44.179443,44.462123,45.151917,46.223015,45.301040,44.271173,44.662949,45.494021
6400000,28.167239,29.434972,32.268241,30.880820,32.006400,33.144893,29.834600,32.834179,33.103459,32.455967,32.756689,32.912326,33.541743,34.413286,35.071008,35.357497,35.895613,36.667624,34.679056,36.186012,36.785408,36.111530,36.985145,36.945536,34.983887,35.571590,36.056375,36.434137,36.350981,37.586004,36.009569,37.195198,37.597428,36.849486,37.784880,37.445881,37.807270,38.303184,38.549491,39.690257,39.721413,39.846901,38.531895,39.567636,40.620126,39.515126,40.147081,39.882945,42.343496,44.692068,43.399657,45.445272,44.345928,44.589474,45.324972,46.458603,45.407287,44.389934,44.811209,45.531053
12800000,28.773382,29.953877,32.720850,31.591809,32.607127,33.959713,30.260219,33.488480,33.873859,33.153427,33.492309,33.632597,33.988410,34.857373,35.917078,36.180502,36.693956,37.508061,35.119624,36.801640,37.563610,36.717194,37.694494,37.619987,35.377311,36.074904,36.686611,37.253060,37.125949,38.561699,36.379955,37.818865,38.478150,37.571617,38.481690,38.122750,38.232794,38.848211,39.234938,39.968364,40.656594,40.804160,38.860421,40.225341,41.391018,40.225497,40.869637,40.633503,43.006970,45.444175,44.937514,46.264674,45.066270,45.529064,46.049786,47.184901,46.158657,45.215086,45.552907,46.309591
19200000,29.128027,30.258845,33.155658,32.202423,32.995395,34.494294,30.538590,33.979937,34.382940,33.630381,33.941223,34.115270,34.269468,35.179715,36.237464,36.655707,37.144434,38.144457,35.376836,37.113800,38.035956,37.173557,38.191346,38.190023,35.720359,36.411590,37.173340,37.886810,37.574789,39.212787,36.719316,38.357452,38.805615,37.987327,38.889348,38.571889,38.623596,39.286639,39.744571,40.610167,41.291901,41.314089,39.239167,40.763244,42.031690,40.683692,41.375069,41.116857,43.514903,46.080992,44.897522,46.950450,45.683856,46.175865,46.592740,47.860770,46.792673,45.855832,46.471765,46.906393
25600000,29.162420,30.469222,33.509029,32.566066,33.479361,34.792808,30.715435,34.259012,34.738658,33.899646,34.237045,34.397202,34.423455,35.309149,36.520390,36.945768,37.539832,38.534732,35.459053,37.345720,38.353226,37.393770,38.508997,38.386232,35.832984,36.525584,37.410395,38.273169,37.848990,39.292626,36.941471,38.427358,39.110179,38.201914,39.106753,38.919556,38.627208,39.362406,39.904204,40.961222,41.638560,41.806098,39.381508,40.886868,42.324256,40.882809,41.559974,41.371711,43.674020,46.266734,45.199324,47.289120,45.979560,46.559054,46.630862,48.124536,47.197068,46.202012,46.382681,47.319789
32000000,29.434000,30.707496,33.742746,32.845767,33.634852,35.160505,30.809435,34.525004,34.970852,34.302315,34.625608,34.739802,34.549963,35.465359,36.943693,37.189806,37.840515,38.888298,35.670702,37.584653,38.635972,37.631714,38.862344,38.665759,35.951226,36.691107,37.710580,38.570333,38.212265,39.837883,36.961434,38.754359,39.433134,38.393414,39.525220,39.126959,38.753219,39.524297,40.158156,41.337351,41.956144,42.168398,39.412238,41.121546,42.742688,41.137946,41.911193,41.636618,43.766461,46.475142,45.610743,47.719877,46.271056,47.003913,46.786048,48.280560,47.532308,46.455859,46.631742,47.764014
38400000,29.463171,30.720023,33.846636,32.994567,33.649426,35.254026,30.592555,34.740715,35.030819,34.355872,34.677422,34.903908,34.676326,35.699661,36.932775,37.303403,37.947937,38.972508,35.708057,37.660774,38.798734,37.776816,38.898590,38.808860,36.093514,36.817774,37.881277,38.641514,38.408897,39.956249,37.146913,38.846694,39.600258,38.565665,39.629556,39.312837,38.922700,39.680638,40.478583,41.483612,42.190320,42.225778,39.602750,41.284126,42.886752,41.342571,42.010523,41.838371,43.991684,46.706382,45.809940,47.981564,46.429422,47.141544,47.141566,48.558821,48.076787,46.793084,46.806783,48.051235
