Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64
12800,60.950952,56.306403,61.497077,60.947692,64.472591,62.805955,60.687400,66.252909,70.172565,66.089972,70.385604,70.234248,48.653601,50.106713,52.131803,52.296927,55.988713,53.320355,52.213203,56.402811,59.032438,56.649686,58.627602,59.011151,47.854778,48.717807,50.327636,50.373681,52.538720,51.096955,50.709000,54.584886,56.520578,54.717231,57.036934,56.615862,48.762661,49.680856,50.570411,51.601746,53.032583,51.712628,51.238581,54.400424,55.571390,54.718192,56.303176,55.920242,54.394068,55.159173,56.251383,56.427437,57.724826,57.006907,57.097371,59.890273,61.420146,59.946462,61.776481,62.152810
19200,63.727483,59.834337,64.607614,64.498845,69.036409,66.131075,63.373732,69.981489,74.005787,69.792468,74.041301,73.996442,51.607561,52.343901,55.583286,55.706072,60.049632,56.199369,55.800288,61.854723,64.167488,62.106025,64.216105,64.236043,49.619777,51.557111,53.048157,52.652686,55.873931,54.282641,53.558311,60.141676,62.284325,58.881913,62.048610,62.375353,50.932169,52.031903,53.347074,53.921143,56.173143,54.491264,54.040317,59.689494,61.422579,57.960068,61.606694,61.392003,56.279496,57.394183,57.956862,58.484589,59.737536,58.689587,59.550596,63.792375,64.967553,62.237442,64.986371,65.886401
25600,65.916399,62.009839,67.556285,66.940919,71.543774,68.995898,65.919745,72.818734,77.468966,72.563315,77.809850,77.713330,53.436853,54.544571,57.869829,57.335343,62.649781,59.415491,57.767485,62.044259,65.086420,62.245890,64.660365,64.928617,51.395808,52.956821,55.105300,54.695428,58.098698,56.328595,55.630886,59.556824,62.255701,59.851236,62.869706,62.438548,52.535167,54.335655,55.274277,55.695432,58.054249,56.528516,55.675976,59.655045,61.260909,59.774040,61.691989,61.399746,57.933445,59.593681,59.926322,60.582449,61.911271,61.196000,61.217492,64.293555,65.646096,64.216205,65.628885,66.657096
32000,68.230846,64.027406,69.936022,69.454384,74.241533,70.823110,68.011402,75.583364,80.668250,75.235174,81.072880,81.001766,55.293848,56.691733,59.793381,60.865434,64.367690,62.775553,59.569713,63.931323,67.317566,64.666085,66.977934,67.247412,53.481867,56.386284,59.229175,59.194952,62.381025,60.205407,59.934025,63.679132,67.054139,63.977566,67.426311,66.921570,55.485582,56.858556,58.832332,58.922922,62.202386,59.853956,58.298826,63.065883,65.019171,63.337865,65.612074,65.170019,60.203375,61.911608,63.085517,63.485126,65.373685,64.186992,64.380571,68.013377,69.726930,67.815258,69.794226,70.629202
38400,68.850416,65.209726,70.802796,70.337847,76.067609,72.933548,68.467205,76.400726,81.374046,76.301279,81.481890,81.424027,56.427349,57.175773,61.320112,60.970866,66.419423,61.989270,61.515292,65.389636,68.629761,65.754113,68.405573,68.610013,53.668366,55.766401,58.774689,58.542004,61.959390,60.147937,58.861771,63.200212,66.097347,63.335765,66.422011,65.992132,54.916784,56.418671,58.169631,58.998281,61.594455,59.720226,58.356427,63.047964,64.802994,63.089338,65.397178,65.002933,60.401681,61.901020,63.097511,63.605875,65.299414,64.146029,64.603766,67.662401,69.635104,67.705358,69.648326,70.578881
44800,69.679468,66.235428,71.648795,71.293999,76.889489,73.761651,69.403320,77.636082,82.440638,77.288839,82.953656,82.797357,57.460028,58.171724,62.028446,61.663030,67.476163,63.152951,62.403588,66.357954,69.543408,67.022840,69.251494,69.614983,54.480603,57.042983,60.039822,59.434720,63.228422,61.936784,60.057865,64.506013,67.395656,64.588193,67.928841,67.434412,55.744597,57.293018,58.893045,59.792858,62.413653,60.676885,59.304835,64.045912,65.893278,64.030569,66.454970,66.135870,61.291657,62.842065,63.830726,64.502611,66.238236,65.066681,65.504539,68.713401,70.728822,68.659740,70.618792,71.454156
51200,71.148761,67.385576,73.343292,72.654967,78.585823,75.271985,70.787269,79.090654,84.215927,78.821683,84.894455,84.699851,58.944176,59.990778,63.653233,63.264055,69.244579,65.053493,63.626189,67.735446,71.552122,68.549449,71.241808,71.647338,55.536012,58.220738,61.398534,60.235128,64.527735,62.289607,61.066388,65.590449,69.261591,65.819131,69.497778,69.042285,56.639375,58.266486,60.113401,60.880118,63.673551,61.861846,60.318606,65.289651,67.084166,65.294537,67.609375,67.181160,62.655021,63.887078,64.905006,65.363965,67.396962,66.645643,66.364919,69.739963,71.804179,69.805163,71.800255,72.636490
57600,71.699042,68.532780,74.521670,73.979166,79.805318,77.002039,71.683929,80.467829,86.082666,80.174705,86.548048,86.384044,59.520311,61.202793,64.559771,63.865811,70.426232,65.953744,64.491370,68.738196,72.793003,69.560287,72.741904,72.744485,56.494359,58.987659,62.781514,61.614241,65.681895,63.324470,62.451778,66.977851,70.535432,67.166917,70.605814,70.285156,57.700090,59.407681,61.258027,61.942624,64.878689,63.063461,61.378544,66.138010,68.160561,66.269927,68.782501,68.294020,63.687621,66.376131,66.254136,67.091644,68.755159,67.737646,67.480939,70.951351,73.163101,71.047541,73.137453,74.072179
64000,73.010680,69.364126,75.744574,74.815968,81.070959,77.486533,72.912664,81.772140,87.438303,81.300994,88.029327,87.806087,60.528045,62.297375,65.655563,65.301953,71.628322,66.824417,65.781129,69.899720,73.704818,70.743234,73.823647,73.725620,57.278225,60.375295,64.234293,64.229925,66.619570,65.194509,63.346517,68.140775,71.582343,68.217652,71.741656,71.375191,59.251272,60.574033,63.276672,65.164335,67.380713,65.107060,63.357413,68.557272,70.828361,68.538411,71.179345,70.809445,64.610539,66.228525,68.091961,68.597118,70.899926,69.469038,68.767979,72.942590,75.702916,73.173503,75.585895,76.193423
128000,78.078079,74.652751,80.910896,80.539381,87.621098,83.385536,77.787460,87.548584,94.201023,87.230075,94.750915,94.871529,65.913926,68.036054,71.550536,71.089559,77.909192,73.511201,71.376424,77.233633,81.340787,78.046415,81.174643,81.293729,61.751424,64.809008,70.372763,68.223021,73.252305,70.568667,69.819996,75.004128,78.802388,75.628060,78.474380,78.246023,63.060331,64.978237,67.616495,69.823293,71.854665,69.975478,67.452183,74.201309,75.102639,74.373818,75.941988,75.458770,68.599996,70.758004,73.788323,74.574148,76.409810,74.687440,74.069711,79.832848,81.631073,80.064333,81.666094,82.265625
