Elements,fixed[F]holes,byte[F]holes,bit[F]holes
85000,1.005997,0.162703,0.126562
88000,1.000793,0.157156,0.128065
91000,1.001558,0.157602,0.129470
94000,1.002274,0.158019,0.125338
97000,1.002946,0.158410,0.126740
100000,1.003578,0.158777,0.128057
140000,1.002098,0.157298,0.128041
180000,1.001276,0.159321,0.125188
220000,1.000753,0.158281,0.125699
260000,1.000391,0.157561,0.126053
300000,1.000126,0.158739,0.126312
340000,1.001429,0.158135,0.126511
380000,1.001110,0.157657,0.125320
420000,1.000852,0.157271,0.125576
460000,1.000639,0.158065,0.125786
500000,1.000460,0.157708,0.125964
540000,1.000307,0.157403,0.125166
580000,1.000175,0.157141,0.125362
620000,1.000887,0.157738,0.125532
660000,1.000736,0.157488,0.125681
700000,1.000603,0.157265,0.125083
740000,1.000483,0.157067,0.125240
780000,1.000377,0.157546,0.125382
820000,1.000280,0.157353,0.125509
860000,1.000193,0.157179,0.125625
900000,1.000113,0.157589,0.125162
940000,1.000585,0.157419,0.125283
980000,1.000496,0.157263,0.125394
1000000,1.000454,0.157190,0.125446
1500000,1.000110,0.157359,0.125273
2000000,1.000195,0.157187,0.125187
2500000,1.000245,0.157084,0.125135
3000000,1.000109,0.157186,0.125101
3500000,1.000157,0.157112,0.125076
4000000,1.000065,0.157057,0.125185
4500000,1.000108,0.157128,0.125157
5000000,1.000142,0.157083,0.125134
5500000,1.000077,0.157045,0.125115
6000000,1.000108,0.157100,0.125100
6500000,1.000134,0.157067,0.125086
7000000,1.000083,0.157112,0.125075
7500000,1.000107,0.157082,0.125065
8000000,1.000065,0.157057,0.125121
8500000,1.000087,0.157094,0.125109
9000000,1.000107,0.157071,0.125099
9500000,1.000071,0.157050,0.125090
10000000,1.000090,0.157082,0.125082
16000000,1.000064,0.157056,0.125088
22000000,1.000076,0.157045,0.125068
28000000,1.000064,0.157056,0.125074
34000000,1.000072,0.157049,0.125064
40000000,1.000064,0.157056,0.125069
46000000,1.000070,0.157051,0.125062
52000000,1.000064,0.157046,0.125066
58000000,1.000069,0.157052,0.125069
64000000,1.000064,0.157048,0.125064
70000000,1.000068,0.157045,0.125067
76000000,1.000064,0.157049,0.125063
82000000,1.000067,0.157047,0.125065
88000000,1.000064,0.157044,0.125062
94000000,1.000061,0.157048,0.125064
100000000,1.000064,0.157046,0.125061
170000000,1.000063,0.157045,0.125064
240000000,1.000062,0.157045,0.125062
310000000,1.000062,0.157044,0.125062
380000000,1.000061,0.157044,0.125061
450000000,1.000061,0.157044,0.125061
520000000,1.000061,0.157044,0.125062
590000000,1.000062,0.157044,0.125062
660000000,1.000062,0.157044,0.125061
730000000,1.000062,0.157044,0.125061
800000000,1.000061,0.157044,0.125061
870000000,1.000061,0.157044,0.125062
940000000,1.000061,0.157043,0.125061
1000000000,1.000061,0.157044,0.125061
1800000000,1.000061,0.157043,0.125061
2600000000,1.000061,0.157044,0.125061
3400000000,1.000061,0.157044,0.125061
