Elements,fixed[F]holes,byte[F]holes,bit[F]holes,fixed[F]noholes,byte[F]noholes,bit[F]noholes
31000,43.499290,49.536880,53.240920,42.929600,47.185470,53.207770
34000,44.212740,50.673250,54.446590,43.428320,48.067120,54.254710
37000,44.384730,50.354380,54.643110,43.393270,48.085680,54.183880
40000,44.344350,50.189070,54.421420,43.356120,47.941260,54.051030
43000,44.043240,50.174580,54.337140,43.493440,47.913460,54.431460
46000,44.348250,50.155710,54.220320,43.356890,47.812860,54.075580
49000,44.002700,50.069630,54.336780,43.252230,47.905080,54.080690
52000,45.176560,50.012390,55.013110,43.391180,48.023850,54.149930
55000,44.361290,50.211110,54.480100,43.346510,47.872910,54.094490
58000,44.372850,49.965570,54.315850,43.312080,47.860930,54.121430
61000,44.099790,49.890670,54.513040,43.324840,47.833930,54.928090
64000,44.263990,50.233190,54.217290,43.337420,47.956940,54.141330
67000,44.983910,51.382300,55.801240,43.860640,48.845570,55.488200
70000,44.865980,51.217340,55.731690,43.840890,48.771860,55.329540
73000,45.346130,50.965420,55.820510,43.727110,48.621860,55.214040
76000,45.111080,51.280630,56.084830,43.825820,48.671540,55.231390
79000,44.943250,51.231890,55.879840,43.747740,48.645190,55.490710
82000,44.696510,51.022560,55.757570,43.746540,48.717160,55.331250
85000,45.260600,50.951260,55.724970,43.777540,48.637630,55.243040
88000,44.511470,51.111130,55.799330,43.695240,48.582750,55.515620
91000,44.670960,50.852890,55.903590,43.740170,48.557930,55.369780
94000,44.640710,50.789460,55.845590,43.672910,48.482860,55.010980
97000,44.574710,50.853300,55.728040,43.622080,48.452660,55.031010
100000,44.742710,53.095910,56.060320,43.920960,48.793040,55.389410
140000,45.553930,52.411060,57.707220,44.378820,49.769680,56.533020
180000,45.516070,51.926830,57.101520,45.265610,49.735390,57.676590
220000,45.176330,51.863210,57.161830,44.168290,49.376520,56.269900
260000,45.755640,52.281750,57.361960,44.406970,49.242150,56.324390
300000,47.042100,53.351880,59.046480,44.977840,50.663260,57.507630
340000,47.810450,53.308610,58.712840,45.495630,50.390270,57.657990
380000,49.261760,52.963980,58.289920,46.765420,50.057960,57.321400
420000,53.063750,53.362340,59.143880,50.202030,50.140950,57.663490
460000,55.901380,53.512990,58.863960,51.948540,50.491510,57.501730
500000,60.325930,53.306790,59.014270,55.699530,50.124460,57.524210
