Elements,fixed[F]holes,byte[F]holes,bit[F]holes,fixed[F]noholes,byte[F]noholes,bit[F]noholes
40000000,104.191580,116.715000,119.474520,135.410780,110.520210,143.993600
46000000,105.320700,118.216970,121.168450,135.563090,112.337430,149.191540
52000000,106.010720,119.274040,122.812800,140.582300,113.452820,152.439310
58000000,107.282720,121.384150,125.294400,135.797930,114.836240,147.751530
64000000,107.570440,121.707180,125.612470,142.059760,116.339250,148.682810
70000000,108.966120,122.359750,126.941570,143.005360,116.853380,158.966910
76000000,108.616590,123.481070,127.601400,139.777980,117.412470,160.932710
82000000,110.193050,123.888730,127.988850,143.985610,117.870620,164.109000
88000000,112.702610,124.835830,129.217950,145.045490,118.597050,165.655250
94000000,112.302760,125.421750,130.244960,145.989680,118.342140,153.503470
100000000,114.943210,125.374560,130.672110,144.818400,118.758930,163.534920
170000000,135.507340,129.292260,136.425720,158.567010,122.662780,174.838610
240000000,152.788790,131.846950,140.032400,167.859740,124.911360,178.216590
310000000,166.672310,135.102570,143.041660,174.659680,130.485780,181.431020
380000000,176.355680,136.592160,145.809000,187.503450,127.816970,188.284820
450000000,184.377520,139.222080,148.174310,199.748480,130.684150,185.974840
520000000,188.607500,140.880620,150.033920,216.312940,133.370610,190.369880
590000000,193.842040,144.358390,152.349930,224.761210,135.305540,186.863510
660000000,198.430670,147.990790,161.362630,232.226040,138.763110,191.034330
730000000,202.797490,154.061620,159.614510,239.276440,142.599290,192.752010
800000000,206.147550,156.234670,162.490590,244.892050,146.198770,187.201560
870000000,208.971350,160.274090,166.987950,253.720140,151.246900,195.164800
940000000,212.020210,162.915730,171.328550,254.430870,154.000170,198.744090
1000000000,213.983370,165.650700,172.128050,255.234350,155.804890,194.064200
1800000000,232.509580,197.623440,207.466730,284.798070,184.370020,216.822840
2600000000,244.675260,221.453590,235.914060,295.362810,206.190280,244.695070
3400000000,253.432350,229.248870,245.068120,305.210970,215.983380,265.899450
